Brand,CPU,RAM,Width,SSD,Price
lenovo,Intel Celeron,4.0,15.6,256.0,132223
apple,Apple M1,8.0,13.3,256.0,383967
apple,Apple M1,8.0,13.3,256.0,391560
chuwi,Intel N100,8.0,14.1,256.0,119987
apple,Apple M1,8.0,13.3,256.0,393996
chuwi,Intel Celeron,8.0,14.1,256.0,98988
asus,Intel Core i5,16.0,15.6,512.0,399089
huawei,Intel Core i3,8.0,14.0,256.0,207845
hp,AMD Ryzen 5,8.0,15.6,512.0,209990
asus,Intel Core i5,16.0,15.6,512.0,257900
acer,Intel Celeron,4.0,15.6,256.0,223928
apple,Apple M1,8.0,13.3,256.0,399953
apple,Apple M1,8.0,13.3,256.0,407366
asus,Intel Core i5,16.0,15.6,512.0,388990
chuwi,Intel N100,16.0,15.6,512.0,159990
apple,Apple M3,18.0,14.2,512.0,972840
oyan,Intel Celeron,8.0,14.1,512.0,127500
lenovo,Intel Core i7,16.0,16.0,1000.0,719000
acer,Intel Celeron,4.0,11.6,64.0,99900
lenovo,AMD Athlon,8.0,14.0,128.0,181000
apple,Apple M1,16.0,16.2,512.0,927721
apple,Apple M2,8.0,13.3,512.0,663053
apple,Apple M2,8.0,13.3,256.0,579255
apple,,8.0,13.6,256.0,508681
apple,Apple M2,8.0,13.6,256.0,509257
apple,Apple M2,8.0,13.6,256.0,514653
apple,Apple M2,16.0,16.2,512.0,1090609
apple,Apple M2,8.0,15.3,512.0,676953
apple,Apple M2,8.0,15.3,256.0,578900
apple,Apple M2,8.0,15.3,256.0,578006
lenovo,Intel Celeron,4.0,15.6,256.0,128500
asus,Intel Core i5,16.0,15.6,512.0,249990
lenovo,Intel Core i5,8.0,15.6,512.0,227090
lenovo,Intel Core i5,8.0,15.6,512.0,251075
lenovo,,16.0,15.6,512.0,429900
lenovo,Intel Core i3,8.0,15.6,512.0,219000
acer,AMD Ryzen 7,16.0,16.0,1024.0,599990
acer,Intel Pentium,8.0,15.6,256.0,222989
apple,Apple M3,18.0,14.2,512.0,974079
apple,Apple M3,36.0,16.2,512.0,1358539
hydra,Intel Celeron,12.0,15.6,512.0,109990
huawei,Intel Core i5,8.0,16.0,512.0,288989
huawei,Intel Core i5,16.0,16.0,512.0,319142
gigabyte,Intel Core i7,16.0,15.6,1000.0,647988
acer,Intel Core i5,16.0,15.6,512.0,367825
huawei,,8.0,16.0,512.0,229579
acer,Intel Core i5,16.0,15.6,512.0,379900
acer,Intel Core i5,16.0,15.6,512.0,359910
acer,,8.0,15.6,512.0,289990
huawei,Intel Core i3,8.0,16.0,512.0,229886
oyan,Intel N100,16.0,15.6,512.0,166500
chuwi,Intel Core i5,16.0,14.0,512.0,209990
asus,AMD Ryzen 5,16.0,15.6,512.0,479990
asus,Intel Core i5,16.0,17.3,512.0,417542
hydra,Intel Pentium,12.0,15.6,512.0,119990
asus,Intel Core i3,8.0,15.6,512.0,189990
asus,AMD Ryzen 5,16.0,15.6,512.0,374990
aspire,Intel N100,8.0,14.0,256.0,139980
neyro,Intel N95,16.0,15.6,512.0,169000
